logw,educ,age,exper,smsa,south,nearc,daded,momed
6.30627529,7,29,16,1,0,0,9.94,10.25
6.17586727,12,27,9,1,0,0,8,8
6.58063914,12,34,16,1,0,0,14,12
5.52146092,11,27,10,1,0,1,11,12
6.59167373,12,34,16,1,0,1,8,7
6.2146081,12,26,8,1,0,1,9,12
6.33682573,18,33,9,1,0,1,14,14
6.41017488,14,29,9,1,0,1,14,14
6.05208917,12,28,10,1,0,1,12,12
6.2441669,12,29,11,1,0,1,12,12
5.4161004,9,28,13,1,0,1,11,12
5.99146455,12,26,8,1,0,1,11,6
6.03308622,11,24,7,1,0,1,11,6
5.37989735,11,30,13,1,0,1,11,6
6.79570578,16,31,9,1,0,1,9.94,8
5.70378247,14,24,4,1,0,1,15,12
5.84643878,12,34,16,1,0,1,12,8
6.48920493,14,29,9,1,0,1,9.94,12
6.35437004,10,26,10,1,0,1,8,8
6.47543272,12,32,14,1,0,1,8,8
6.85012617,18,32,8,1,1,1,12,13
6.41999493,18,34,10,1,0,1,9.94,8
6.58755001,15,32,11,0,0,1,5,14
6.4035742,12,28,10,1,0,1,14,12
6.54103,12,32,14,1,0,1,11,12
7.24422752,18,34,10,0,0,1,14,13
5.70378247,12,26,8,1,0,1,7,12
7.49554194,18,32,8,1,0,1,16,16
6.02344759,12,25,7,1,0,1,11,12
6.44888939,14,29,9,0,0,1,9.94,16
5.33753808,12,25,7,1,0,1,12,12
6.12468339,12,25,7,1,0,1,9.94,11
6.71417053,16,24,2,1,0,1,10,10
6.35784227,18,34,10,1,0,1,9.94,12
5.54126355,11,28,11,1,0,1,6,10
6.86901445,16,30,8,1,0,1,12,12
6.85012617,10,31,15,1,0,1,8,6
7.0440329,18,34,10,1,0,1,8,11
5.78074352,6,27,15,1,0,1,2,6
5.45958551,11,24,7,1,0,1,6,12
6.90775528,12,34,16,1,0,1,11,10
6.17586727,9,26,11,1,0,1,9.94,12
6.43615037,15,32,11,1,0,1,10,12
6.47697236,11,34,17,1,0,1,8,10
5.84064166,12,24,6,1,0,1,9.94,10
5.94017125,16,24,2,1,1,1,12,10
5.86646806,12,24,6,1,0,1,12,11
6.49072353,13,25,6,1,0,1,9.94,12
6.43133108,17,28,5,1,0,1,10,10
6.08677473,12,25,7,1,0,1,10,11
6.60394382,12,26,8,1,0,1,12,10
5.6347896,11,31,14,0,1,1,5,5
6.07304453,10,24,8,1,0,1,5,10.25
6.5581978,12,27,9,1,0,1,9.94,8
6.05208917,12,27,9,1,0,1,10,12
6.34738921,12,24,6,1,0,1,9.94,4
6.28785856,16,30,8,1,0,1,12,12
6.60665019,16,32,10,1,0,1,12,12
6.51174533,13,32,13,1,0,1,10,12
6.64509097,12,34,16,1,0,1,10,10
6.38350663,12,24,6,1,0,1,10,10
5.36129217,9,24,9,1,0,1,12,11
7.35436233,16,34,12,1,0,1,12,12
6.65157187,16,28,6,1,0,1,11,11
6.39692966,12,26,8,1,1,1,8,9
6.54103,18,24,0,1,0,1,16,16
6.34563636,13,31,12,1,0,1,8,12
6.07073773,14,28,8,1,0,1,12,12
6.28785856,15,28,7,1,0,1,12,12
6.44094654,12,25,7,1,0,1,12,9
6.17586727,8,31,17,1,0,1,12,11
6.30078579,12,26,8,1,0,1,6,11
6.35610766,12,25,7,1,0,1,12,9
6.55108034,16,25,3,1,0,1,14,12
6.66949809,16,28,6,1,0,1,12,12
6.91968385,17,27,4,1,0,1,12,12
6.63068339,12,24,6,1,0,1,12,10
6.39859493,14,29,9,1,0,1,12,16
5.6454469,12,24,6,1,0,1,9.94,12
5.52146092,12,24,6,1,0,1,12,12
6.2146081,12,26,8,1,0,1,10,12
6.30991828,11,31,14,1,0,1,8,6
7.04141166,12,25,7,1,0,1,8,6
6.69703425,18,31,7,1,1,1,8,8
5.74620319,12,28,10,1,0,1,9.94,9
6.59441346,18,25,1,1,0,1,9.94,4
6.43775165,16,25,3,1,0,1,9,10
6.37672695,14,24,4,1,0,1,16,12
5.92692603,14,26,6,1,0,1,12,12
6.70563909,16,29,7,1,1,1,14,11
6.76272951,14,30,10,1,0,1,15,12
5.85793315,15,28,7,1,1,1,12,12
5.3082677,13,24,5,1,1,1,12,12
6.22455843,13,32,13,1,1,1,16,16
6.70441435,17,30,7,1,0,1,12,13
6.43775165,18,26,2,1,0,1,14,12
6.64509097,18,32,8,1,0,1,16,16
6.2146081,17,27,4,1,0,1,16,17
6.42810527,17,27,4,1,0,1,12,8
6.47697236,12,30,12,1,0,1,9.94,8
6.64509097,18,28,4,1,0,1,10,12
6.23832463,12,26,8,1,0,1,10,12
6.43775165,18,31,7,1,0,1,12,13
7.01301579,14,31,11,1,0,1,12,12
6.58063914,13,28,9,1,0,1,12,12
7.05098945,14,32,12,1,0,1,13,12
6.7178047,18,34,10,0,0,1,18,18
6.82762923,16,34,12,1,0,1,14,12
6.98100574,17,28,5,1,0,1,14,17
6.43775165,12,33,15,1,0,1,9.94,8
6.13122649,13,27,8,1,0,1,9.94,8
6.80239476,14,24,4,1,0,1,8,12
6.52502966,18,29,5,1,0,1,8,9
6.01859321,12,24,6,1,0,1,10,12
6.43775165,13,27,8,1,0,1,12,15
6.91274282,18,32,8,1,0,1,12,12
6.58617165,11,24,7,1,0,1,9,11
6.62007321,15,27,6,1,0,1,8,11
6.27098843,14,29,9,1,0,1,9.94,8
6.8793558,17,29,6,1,0,1,8,12
6.15697899,12,26,8,0,0,1,12,12
5.78382518,12,24,6,1,0,1,12,12
6.77422389,12,34,16,1,0,1,9.94,12
6.43775165,13,34,15,1,0,1,9,10
5.82008293,12,26,8,1,0,1,8,10
6.17586727,16,27,5,1,0,1,5,5
6.47697236,9,29,14,1,0,1,5,10.25
5.94803499,16,25,3,1,0,1,5,4
6.86901445,18,30,6,1,0,1,15,14
6.42162227,16,29,7,0,0,1,13,12
6.5539334,14,28,8,1,0,1,12,12
6.453625,14,31,11,1,0,1,9.94,12
5.29831737,12,28,10,1,0,1,10,11
6.70563909,12,27,9,1,0,1,10,10
6.35784227,14,26,6,1,0,1,9.94,12
6.14418563,17,26,3,1,0,1,12,12
6.82871207,16,29,7,1,0,1,9.94,12
6.67582322,16,31,9,1,1,1,12,12
6.453625,14,28,8,1,0,1,12,12
6.34563636,12,25,7,1,0,1,9.94,10.25
6.5581978,16,29,7,1,0,1,12,12
6.453625,14,28,8,1,0,1,12,9
6.54247196,12,30,12,1,0,1,9.94,12
6.42162227,13,34,15,1,0,1,10,12
6.13556489,16,26,4,1,0,1,15,10
6.76272951,12,34,16,1,0,1,12,12
6.60258789,18,33,9,1,1,1,12,12
7.24422752,12,25,7,1,0,1,8,14
6.69456206,12,31,13,1,0,1,9.94,7
6.48310735,16,26,4,1,0,1,11,12
5.70378247,12,25,7,1,0,1,9.94,12
6.35784227,16,30,8,1,0,1,8,10
5.57972983,16,24,2,1,0,1,10,12
6.38687932,18,31,7,0,0,1,8,8
5.78382518,17,26,3,1,0,1,12,8
5.95324333,16,24,2,0,0,1,12,8
6.90775528,18,25,1,1,0,1,12,12
6.14203741,18,28,4,1,0,1,8,11
6.08677473,16,28,6,1,0,1,16,18
6.43775165,16,27,5,1,0,1,16,17
5.65248918,17,27,4,1,0,1,11,12
6.47697236,14,27,7,1,0,1,10,12
6.69456206,13,25,6,1,0,1,10,12
6.2146081,12,24,6,1,0,1,10,12
6.72262979,16,26,4,1,0,1,14,12
6.2146081,12,31,13,1,0,1,8,6
6.54103,17,32,9,1,0,1,12,12
7.00306546,12,27,9,1,0,1,12,10
6.63725803,12,25,7,1,0,1,8,12
6.67834211,12,27,9,1,0,1,8,9
5.80814249,16,25,3,1,0,1,7,8
6.01371516,18,30,6,1,0,1,16,12
6.76272951,16,27,5,1,0,1,9.94,12
6.78897174,12,31,13,1,0,1,8,12
6.51174533,12,34,16,1,0,1,9.94,12
6.55108034,12,33,15,0,0,1,7,10.25
5.52146092,18,33,9,1,1,1,16,16
6.43775165,11,27,10,1,0,1,11,9
6.03308622,13,31,12,1,0,1,8,12
6.35610766,13,28,9,1,0,1,8,12
6.41836494,12,26,8,1,0,1,12,9
6.55108034,12,31,13,1,0,1,11,9
6.10924758,12,24,6,1,0,1,11,9
6.2146081,16,28,6,1,0,1,9.94,12
6.24222327,12,25,7,0,0,1,12,10.25
5.52146092,16,25,3,1,0,1,12,12
5.75257264,12,24,6,0,0,1,12,12
5.92692603,12,29,11,1,0,1,9,12
6.12468339,15,34,13,0,0,1,9.94,12
5.6167711,12,27,9,1,0,1,9.94,10.25
6.85751406,12,28,10,1,0,1,9.94,12
7.01660968,16,32,10,1,0,1,8,9
5.66642669,16,25,3,0,0,1,12,14
6.2146081,16,25,3,1,0,1,9.94,10.25
6.58755001,18,32,8,1,0,1,16,12
7.1428274,18,29,5,1,0,1,18,12
6.41836494,17,26,3,1,0,1,18,18
6.30078579,12,28,10,1,0,1,10,11
5.62762111,13,28,9,1,0,1,12,8
7.27378632,18,34,10,1,0,1,16,12
6.90274274,16,27,5,1,0,1,16,12
6.55108034,12,29,11,1,0,1,11,11
6.35784227,16,28,6,1,0,1,9,12
6.7546041,16,31,9,1,0,1,6,12
6.53087763,12,28,10,1,0,1,12,10.25
6.72383244,15,31,10,1,0,1,11,10.25
6.45047042,13,33,14,1,0,1,13,8
6.53524127,12,32,14,1,0,1,12,12
6.64509097,14,30,10,1,0,1,8,8
5.95324333,15,27,6,1,0,1,12,14
6.10924758,12,24,6,1,0,1,12,14
6.42162227,12,27,9,1,0,1,10,12
6.52502966,12,34,16,1,0,1,9.94,8
6.50727771,10,32,16,1,0,1,9.94,10.25
6.68461173,11,33,16,1,0,1,8,8
6.22455843,14,34,14,1,0,1,8,8
6.93342303,18,30,6,1,0,1,12,16
6.64509097,15,25,4,1,0,1,16,12
5.66988092,10,32,16,1,1,1,10,14
6.27098843,13,28,9,1,0,1,9.94,8
7.05098945,16,29,7,1,0,1,12,12
6.30809844,10,29,13,1,0,1,12,10.25
6.1633148,12,26,8,1,0,1,8,12
6.10924758,12,26,8,1,0,1,12,12
6.77422389,17,27,4,1,0,1,10,10.25
5.29831737,15,25,4,1,0,1,10,10.25
5.70378247,13,26,7,0,0,1,16,16
6.13556489,16,25,3,0,0,1,16,10.25
5.95324333,12,30,12,1,0,1,13,12
7.15617664,15,32,11,1,0,1,16,16
6.37672695,16,25,3,1,0,1,12,12
6.39692966,12,27,9,1,0,1,17,16
6.2146081,16,30,8,1,0,1,6,10.25
6.08677473,12,33,15,1,0,1,8,8
6.14632926,18,26,2,1,1,1,13,16
6.83410874,17,29,6,1,0,1,14,12
6.32076829,16,27,5,1,0,1,14,12
6.08221891,13,24,5,1,0,1,14,12
6.39692966,12,29,11,1,0,1,9,10
6.35437004,12,26,8,1,0,1,9,10
5.96357934,12,26,8,1,0,1,9,10
6.67834211,12,34,16,0,0,1,12,10.25
6.15485809,18,27,3,1,0,1,18,16
5.3082677,17,26,3,1,0,1,18,16
5.29831737,17,24,1,1,0,1,18,16
5.85793315,17,24,1,1,0,1,15,17
5.92692603,14,24,4,0,0,1,10,12
6.17586727,16,25,3,1,0,1,12,9
6.86901445,18,31,7,1,0,1,8,8
6.04737218,15,27,6,1,0,1,12,12
6.2146081,15,27,6,1,0,1,11,12
6.10924758,9,30,15,1,0,1,9.94,11
6.16541785,8,28,14,1,0,1,8,9
4.91265489,12,24,6,1,0,1,8,9
6.35437004,12,32,14,1,0,1,10,9
6.35784227,12,33,15,1,0,1,10,8
5.7365723,12,31,13,1,0,1,8,9
6.55108034,9,30,15,1,0,1,12,12
7.18690102,14,32,12,1,0,1,9.94,12
6.31173481,10,34,18,1,0,1,12,9
6.78105763,17,30,7,1,0,1,8,8
6.63331843,12,25,7,1,0,1,7,12
6.56244409,12,32,14,1,0,1,8,11
6.05208917,12,26,8,1,0,1,8,8
6.05678401,12,26,8,1,0,1,9.94,9
6.35610766,16,24,2,1,0,1,9.94,9
5.99146455,9,32,17,1,0,1,9.94,4
6.2146081,12,31,13,0,0,1,8,5
6.27476202,12,28,10,0,0,1,8,5
6.51174533,16,28,6,1,0,1,12,12
6.35784227,16,27,5,1,1,1,12,12
5.78382518,16,24,2,1,0,1,16,12
6.2146081,11,29,12,0,0,1,7,11
6.64639051,12,25,7,0,0,1,7,11
6.2146081,12,26,8,1,0,1,7,12
5.96870756,16,28,6,1,0,1,14,12
6.69703425,12,34,16,1,0,1,12,10
6.29710932,9,34,19,0,0,1,12,10.25
6.3851944,9,34,19,0,0,1,12,12
6.76157277,17,25,2,1,0,1,12,12
6.55108034,10,28,12,0,0,1,9.94,8
6.23441073,12,25,7,0,0,1,12,12
6.42162227,13,34,15,1,0,1,9,12
6.63463336,14,29,9,1,0,1,9,8
6.20050917,10,31,15,1,0,1,9.94,10.25
6.09807428,16,24,2,1,0,1,12,12
6.05208917,12,25,7,1,0,1,8,9
6.62007321,16,24,2,1,0,1,12,12
6.55108034,16,24,2,1,0,1,12,12
6.08221891,12,24,6,1,0,1,9,9
6.41017488,12,29,11,1,0,1,12,12
6.10924758,13,24,5,1,0,1,7,8
5.74620319,3,26,17,1,0,1,4,0
5.52146092,7,33,20,1,0,1,6,5
6.2146081,14,33,13,1,0,1,12,12
5.89989735,12,26,8,1,0,0,11,12
6.70073111,12,26,8,1,0,0,10,12
5.78689738,12,25,7,0,0,0,10,12
6.26149168,12,29,11,0,0,0,9.94,10
6.70318811,13,28,9,1,0,0,9,12
6.62007321,12,28,10,1,0,0,11,12
6.26339826,17,24,1,1,0,0,9,10
7.02553831,12,32,14,1,0,0,8,12
6.43775165,12,28,10,1,0,0,8,9
6.57228254,14,25,5,1,0,0,12,12
6.38181602,12,31,13,0,0,0,8,12
6.00141488,17,27,4,1,0,0,12,12
6.51471269,12,28,10,1,0,1,10,12
6.09582456,12,25,7,1,0,1,10,12
6.19031541,12,24,6,1,0,1,10,12
6.54391185,9,34,19,1,0,1,10,6
6.55108034,12,25,7,1,1,1,10,12
5.78382518,12,24,6,1,1,1,7,10
6.32076829,9,25,10,1,0,1,12,11
5.78382518,12,26,8,1,0,1,8,12
6.50428817,13,26,7,1,0,1,15,16
7.7848893,18,31,7,1,0,1,18,16
6.63068339,16,25,3,1,0,1,12,14
6.89365635,16,34,12,1,0,1,12,12
6.35784227,12,25,7,1,0,1,12,12
5.65599181,17,29,6,0,0,1,12,12
5.44241771,14,28,8,1,1,1,18,16
6.24027585,12,25,7,1,0,1,7,10
6.42162227,15,28,7,1,0,1,9,10
6.55108034,15,25,4,1,0,1,9,10
6.57088296,18,33,9,1,0,1,12,7
6.55250789,9,30,15,1,0,1,8,8
6.13556489,12,24,6,1,0,1,7,9
6.76619171,18,28,4,1,0,1,8,9
6.82110747,16,29,7,0,0,1,9,10
6.97073008,12,27,9,1,0,1,12,12
5.99146455,12,29,11,1,1,1,12,12
6.46146818,12,27,9,1,0,1,12,12
5.65248918,13,24,5,1,0,1,8,8
6.46302946,17,27,4,1,1,1,12,12
5.96357934,13,32,13,1,0,1,9.94,4
6.91770561,12,25,7,1,0,1,12,10
6.70563909,12,24,6,0,0,1,8,12
6.88243747,17,27,4,1,0,1,10,9
6.62007321,12,29,11,1,0,1,6,7
6.13772705,15,24,3,0,0,1,7,8
7.23489842,12,28,10,1,0,1,12,10.25
6.35784227,12,25,7,1,0,1,12,10.25
5.99396143,12,27,9,1,0,1,11,9
5.768321,10,26,10,1,0,1,11,9
6.24222327,12,27,9,1,0,1,14,12
5.33753808,11,25,8,1,0,1,14,12
7.08338785,17,27,4,1,0,1,8,6
6.43775165,14,26,6,1,0,1,7,6
6.17586727,17,34,11,1,0,1,7,7
6.57088296,13,27,8,1,0,1,12,12
6.43775165,11,27,10,1,0,1,1,4
6.315358,12,30,12,1,0,1,9.94,7
6.36130248,12,34,16,1,0,1,5,2
6.73459166,18,28,4,1,0,1,12,16
7.56164175,18,33,9,1,0,1,12,12
6.69208374,16,26,4,1,0,1,13,10
5.84064166,12,29,11,1,0,1,9.94,6
6.86901445,12,32,14,1,0,1,11,14
6.39692966,12,32,14,0,0,1,10,10
6.72982407,18,34,10,1,0,1,12,10
6.43775165,16,24,2,1,0,1,9.94,10.25
6.33327963,16,28,6,1,0,1,9.94,10.25
7.25134498,16,28,6,1,0,1,10,10
6.1737861,12,25,7,1,0,1,9.94,12
6.39692966,12,24,6,1,0,1,7,8
5.70378247,9,28,13,1,0,1,9.94,0
6.22455843,9,25,10,1,0,1,9.94,0
6.03308622,14,25,5,1,0,1,7,12
5.70378247,12,24,6,1,0,1,7,12
6.76272951,18,27,3,1,0,1,14,14
5.70378247,16,25,3,1,0,1,16,13
6.58063914,12,32,14,1,0,1,9,6
6.75227038,12,34,16,1,0,1,8,10.25
6.60394382,10,30,14,1,0,1,10,7
6.96413561,17,31,8,1,0,1,15,12
6.27098843,12,32,14,1,0,1,6,8
6.34913899,11,34,17,1,0,1,6,10.25
6.69084228,12,32,14,0,0,1,9.94,9
5.99146455,10,30,14,1,0,1,6,8
6.86901445,18,29,5,1,0,1,12,16
6.70563909,18,27,3,1,0,1,13,16
6.60665019,13,28,9,1,0,1,14,12
6.58063914,18,30,6,1,0,1,12,12
6.81673588,18,24,0,1,0,1,16,16
5.93753621,17,27,4,1,0,1,8,12
5.85793315,14,26,6,1,0,1,8,12
6.54247196,11,33,16,1,0,1,8,8
6.92165818,12,32,14,1,1,1,9.94,12
7.0352686,18,34,10,1,0,1,16,16
7.44366368,18,30,6,1,0,1,16,16
6.27098843,12,26,8,1,0,1,12,8
6.51174533,17,32,9,1,0,1,12,16
6.91770561,17,28,5,1,0,1,16,13
6.74051936,18,28,4,1,0,1,17,12
6.56526497,11,27,10,1,0,1,12,12
6.70930434,16,26,4,0,0,1,12,13
6.10255859,12,24,6,1,0,1,12,13
6.2146081,15,25,4,1,0,1,9,10
6.95559261,16,31,9,1,0,1,12,12
7.09174212,18,29,5,1,0,1,16,12
6.5366916,12,33,15,1,0,1,8,10.25
6.4738907,16,28,6,1,0,1,8,10
6.77422389,13,30,11,1,0,1,12,12
6.30627529,17,25,2,1,0,1,12,12
6.39692966,7,28,15,1,0,1,8,9
7.71601527,15,34,13,1,0,1,12,8
7.27378632,12,31,13,1,0,1,12,8
5.768321,12,34,16,1,0,1,9.94,10.25
7.14045304,18,33,9,1,0,1,10,16
6.39692966,12,24,6,1,0,1,11,9
5.70378247,11,26,9,1,0,1,9.94,10
6.28785856,16,24,2,1,0,1,12,12
6.61204103,12,33,15,0,0,1,11,10.25
6.74051936,12,33,15,1,0,1,9.94,12
6.70073111,16,29,7,1,0,1,12,12
6.90775528,12,28,10,1,0,1,9.94,8
6.32972091,16,26,4,1,0,1,12,15
5.65248918,18,26,2,1,0,1,18,18
6.0799332,16,27,5,1,0,1,16,12
5.78382518,13,25,6,1,0,1,12,12
6.3630281,16,28,6,1,0,1,10,12
6.37672695,16,26,4,1,0,1,12,12
6.68586095,18,29,5,1,0,1,14,12
5.74300319,14,25,5,1,0,1,8,10
5.52146092,12,29,11,1,0,1,4,11
6.2146081,15,27,6,1,0,1,4,11
6.62007321,12,33,15,1,0,1,9.94,12
5.83773045,13,31,12,1,1,1,11,11
5.52146092,15,28,7,1,0,1,11,11
6.55108034,16,24,2,1,0,1,12,10
5.99146455,12,25,7,1,0,1,8,8
6.31896811,17,27,4,1,0,1,14,12
6.54965074,15,28,7,1,0,1,12,12
7.56164175,14,24,4,1,0,1,12,12
7.10332206,18,32,8,1,0,1,9.94,10
6.42162227,16,29,7,1,0,1,12,12
6.61338422,14,25,5,1,0,1,12,12
6.12686918,16,24,2,1,0,1,18,14
6.47234629,18,25,1,1,0,1,16,10
6.61338422,12,25,7,1,0,1,8,12
6.70318811,16,25,3,1,1,1,17,12
6.76272951,16,31,9,1,0,1,13,10
6.295266,12,28,10,1,0,1,7,8
5.89989735,13,27,8,1,0,1,18,12
6.03308622,10,24,8,1,0,1,18,12
6.48768402,16,27,5,1,0,1,9.94,12
6.27098843,15,26,5,1,0,1,9.94,12
6.74641213,17,29,6,1,0,1,8,12
6.49677499,12,25,7,1,0,1,12,9
6.27098843,16,24,2,1,0,1,12,12
6.79009724,18,28,4,1,0,1,9,12
6.76272951,17,28,5,1,1,1,9.94,12
5.44241771,18,26,2,1,1,1,18,12
6.68710861,12,32,14,0,1,1,10,9
6.27852142,13,27,8,1,0,1,12,12
6.65286303,15,25,4,1,0,1,12,14
6.16541785,14,24,4,1,0,1,12,14
6.76272951,16,33,11,1,0,1,16,10.25
6.92165818,16,28,6,0,0,1,10,12
6.46302946,18,32,8,1,0,1,16,16
5.80814249,16,24,2,1,0,1,10,10
6.32076829,11,34,17,1,0,1,8,9
6.26909628,18,26,2,1,0,1,8,12
6.453625,12,26,8,1,0,1,12,12
6.2146081,11,27,10,1,1,1,3,10.25
7.05098945,16,34,12,1,0,1,9.94,12
6.75110147,18,26,2,1,0,1,9.94,10.25
6.1717006,12,28,10,0,0,1,16,12
6.70563909,18,25,1,1,1,1,12,11
6.53958596,18,29,5,1,0,1,18,12
6.89669433,16,33,11,0,0,1,12,8
6.10255859,16,31,9,1,1,1,9.94,12
6.90975328,18,34,10,1,0,1,16,12
7.12367279,18,34,10,1,0,1,12,12
6.82546004,14,32,12,0,0,1,9.94,12
6.34738921,12,28,10,1,0,1,7,8
6.26339826,12,31,13,1,0,1,6,11
7.05098945,12,28,10,1,0,1,8,12
6.1737861,12,24,6,1,0,1,5,10
6.73221071,11,24,7,1,0,1,9.94,10
7.24565507,14,33,13,1,0,1,10,10
5.99146455,13,27,8,1,0,1,9.94,10.25
6.56526497,12,33,15,1,0,1,12,8
6.453625,14,24,4,1,0,1,10,12
5.96100534,13,26,7,1,0,1,11,12
6.53378884,12,26,8,1,0,1,8,10
6.44571982,12,34,16,1,0,1,9.94,10.25
6.95081477,15,34,13,1,0,1,12,8
6.35784227,12,24,6,1,0,1,9.94,12
6.2146081,12,25,7,1,0,1,9.94,12
6.66057515,12,34,16,0,0,1,9.94,12
6.35784227,13,26,7,1,0,1,12,11
6.26339826,13,25,6,1,0,1,12,11
5.95324333,17,28,5,1,0,1,12,12
6.43775165,12,29,11,1,0,1,8,10.25
6.43775165,16,28,6,1,0,1,11,11
6.1633148,13,26,7,1,0,1,10,12
6.49072353,14,25,5,1,0,1,12,12
6.05208917,16,24,2,1,0,1,12,12
6.26149168,14,25,5,1,0,1,10,11
6.43775165,12,26,8,1,0,0,10,10
6.91770561,16,31,9,1,0,0,9,12
