repond id,response,male,activity,age
1,1,0,0,58
2,1,1,0,50
3,1,1,0,40
4,1,1,0,36
5,1,1,0,28
6,1,1,0,70
7,1,1,0,38
8,1,1,0,45
9,1,0,0,42
10,1,0,1,66
11,1,1,0,41
12,1,1,0,65
13,1,0,0,83
14,1,0,1,40
15,1,1,1,67
16,1,1,1,54
17,1,1,0,67
18,1,1,1,44
19,1,1,0,71
20,1,1,1,68
21,1,1,0,54
22,1,1,1,57
23,1,1,0,37
24,1,1,0,70
25,1,1,1,64
26,1,1,1,41
27,1,1,0,70
28,1,1,1,44
29,1,1,1,39
30,1,1,0,60
31,1,1,0,64
32,1,0,0,85
33,1,1,0,56
34,1,1,0,37
35,1,1,0,67
36,1,1,0,53
37,1,1,0,43
38,1,1,0,41
39,1,1,1,45
40,1,0,0,36
41,1,1,1,63
42,1,1,0,39
43,1,1,0,40
44,1,1,0,68
45,1,1,0,70
46,1,1,0,52
47,1,0,0,50
48,1,1,1,39
49,1,1,1,42
50,1,1,0,44
51,1,1,0,34
52,1,1,1,57
53,1,1,0,66
54,1,0,0,76
55,1,1,0,67
56,1,0,0,70
57,1,0,0,48
58,1,1,0,46
59,1,1,1,59
60,1,1,0,39
61,1,1,0,44
62,1,1,0,64
63,1,0,0,62
64,1,0,0,51
65,1,1,0,50
66,1,1,1,24
67,1,1,1,68
68,1,1,0,40
69,1,1,0,66
70,1,0,1,58
71,1,1,0,53
72,1,1,0,54
73,1,1,0,34
74,1,1,0,50
75,1,1,0,51
76,1,0,0,34
77,1,1,0,71
78,1,1,1,49
79,1,1,0,33
80,1,1,0,36
81,1,1,0,41
82,1,1,1,49
83,1,1,1,40
84,1,1,0,47
85,1,1,0,65
86,1,0,0,33
87,1,0,0,36
88,1,1,0,29
89,1,0,0,50
90,1,1,0,49
91,1,1,0,70
92,1,1,0,49
93,1,1,1,43
94,1,1,0,31
95,1,1,0,60
96,1,1,1,43
97,1,1,1,43
98,1,1,0,42
99,1,1,1,60
100,1,1,0,57
101,1,1,0,45
102,1,1,1,41
103,1,1,1,39
104,1,1,0,51
105,1,1,0,73
106,1,1,0,59
107,1,0,0,74
108,1,1,0,61
109,1,1,0,55
110,1,1,0,58
111,1,1,1,39
112,1,1,1,62
113,1,0,0,37
114,1,1,0,38
115,1,0,0,31
116,1,1,0,40
117,1,1,0,39
118,1,1,1,33
119,1,1,1,50
120,1,1,0,66
121,1,1,1,55
122,1,1,0,40
123,1,0,0,27
124,1,1,0,49
125,1,1,1,44
126,1,1,0,47
127,1,0,1,44
128,1,1,0,40
129,1,0,0,39
130,1,1,0,55
131,1,1,0,62
132,1,1,0,56
133,1,0,0,45
134,1,1,0,41
135,1,1,0,57
136,1,1,0,53
137,1,1,0,40
138,1,1,0,52
139,1,1,1,41
140,1,1,0,31
141,1,1,0,41
142,1,1,0,56
143,1,1,0,40
144,1,1,0,41
145,1,1,0,57
146,1,1,0,58
147,1,0,0,38
148,1,1,0,36
149,1,0,1,68
150,1,1,0,60
151,1,1,1,25
152,1,1,0,41
153,1,0,0,46
154,1,1,0,64
155,1,1,0,48
156,1,1,1,61
157,1,1,0,40
158,1,1,1,70
159,1,1,0,49
160,1,1,0,42
161,1,0,1,63
162,1,0,0,53
163,1,1,1,38
164,1,1,0,54
165,1,1,0,57
166,1,1,1,71
167,1,0,1,59
168,1,0,0,56
169,1,1,0,62
170,1,1,0,59
171,1,1,0,68
172,1,1,1,65
173,1,1,1,44
174,1,1,0,78
175,1,1,0,59
176,1,1,0,40
177,1,1,0,62
178,1,1,1,58
179,1,1,0,43
180,1,1,0,62
181,1,1,1,47
182,1,1,0,50
183,1,1,0,53
184,1,1,0,49
185,1,0,0,63
186,1,1,0,50
187,1,1,0,40
188,1,1,0,43
189,1,1,0,39
190,1,1,0,61
191,1,1,0,52
192,1,1,0,66
193,1,1,0,44
194,1,1,0,40
195,1,1,1,42
196,1,0,0,32
197,1,1,0,32
198,1,1,1,51
199,1,1,1,61
200,1,1,1,54
201,1,0,0,73
202,1,1,0,48
203,1,0,1,29
204,1,0,1,42
205,1,1,0,36
206,1,1,0,53
207,1,1,0,25
208,1,1,0,69
209,1,1,0,61
210,1,1,1,23
211,1,1,0,28
212,1,1,1,28
213,1,1,0,38
214,1,1,0,29
215,1,1,0,49
216,1,0,0,21
217,1,1,0,54
218,1,1,0,70
219,1,1,0,51
220,1,0,0,40
221,1,1,0,59
222,1,1,1,23
223,1,1,0,57
224,1,1,1,50
225,1,1,0,62
226,1,0,0,59
227,1,1,0,50
228,1,1,0,54
229,1,1,0,54
230,1,0,1,42
231,1,1,0,39
232,1,1,1,44
233,1,1,0,42
234,1,1,0,64
235,1,1,1,54
236,1,1,0,53
237,1,1,0,46
238,1,0,0,19
239,1,1,0,43
240,1,1,1,57
241,1,0,0,48
242,1,1,0,58
243,1,1,1,35
244,1,0,0,69
245,1,0,0,42
246,1,0,0,30
247,1,0,0,63
248,1,0,1,56
249,1,1,0,34
250,1,0,0,43
251,1,0,1,50
252,1,1,0,49
253,1,0,0,69
254,1,1,0,51
255,1,1,0,53
256,1,0,1,47
257,1,1,0,58
258,1,1,1,64
259,1,0,1,52
260,1,0,0,54
261,1,1,1,30
262,1,1,0,36
263,1,1,0,58
264,1,1,1,40
265,1,0,0,67
266,1,1,0,45
267,1,0,0,57
268,1,1,0,68
269,1,0,1,42
270,1,1,0,30
271,1,1,1,30
272,1,1,0,63
273,1,1,0,70
274,1,1,1,74
275,1,1,1,62
276,1,1,0,55
277,1,1,0,36
278,1,1,0,60
279,1,0,0,56
280,1,1,1,41
281,1,1,1,57
282,1,1,0,48
283,1,1,0,36
284,1,1,0,80
285,1,1,0,60
286,1,1,1,41
287,1,1,0,52
288,1,1,0,46
289,1,1,0,70
290,1,1,1,54
291,1,1,0,40
292,1,1,0,64
293,1,1,0,46
294,1,1,0,30
295,1,1,0,44
296,1,1,0,49
297,1,1,0,40
298,1,1,0,35
299,1,1,0,53
300,1,1,0,33
301,1,1,0,52
302,1,1,0,60
303,1,1,0,49
304,1,1,0,46
305,1,1,0,52
306,1,1,1,56
307,1,1,0,62
308,1,0,1,61
309,1,1,0,64
310,1,0,0,59
311,1,1,1,48
312,1,1,0,56
313,1,1,1,46
314,1,1,1,50
315,1,1,1,71
316,1,0,0,60
317,1,1,0,53
318,1,0,0,50
319,1,1,0,44
320,1,1,0,41
321,1,1,0,69
322,1,1,0,66
323,1,1,0,61
324,1,1,0,33
325,1,1,0,38
326,1,1,1,51
327,1,1,1,60
328,1,1,0,48
329,1,1,0,81
330,1,1,0,47
331,1,1,1,42
332,1,1,0,59
333,1,1,1,51
334,1,1,1,59
335,1,1,0,32
336,1,0,0,70
337,1,1,0,46
338,1,1,1,61
339,1,1,0,38
340,1,1,0,71
341,1,1,1,54
342,1,0,1,33
343,1,1,0,49
344,1,1,1,34
345,1,1,0,64
346,1,1,0,70
347,1,1,0,53
348,1,1,1,33
349,1,1,0,69
350,1,1,0,70
351,1,1,0,33
352,1,1,0,51
353,1,1,1,40
354,1,1,0,43
355,1,1,1,63
356,1,1,0,54
357,1,1,0,53
358,1,1,0,62
359,1,1,1,31
360,1,1,1,46
361,1,1,0,50
362,1,1,0,56
363,1,1,0,53
364,1,1,0,49
365,1,1,0,38
366,1,1,0,56
367,1,1,0,37
368,1,1,0,42
369,1,0,0,77
370,1,1,0,42
371,1,1,0,36
372,1,0,0,48
373,1,0,0,64
374,1,0,0,73
375,1,1,0,66
376,1,1,0,65
377,1,1,0,45
378,1,1,0,50
379,1,1,0,69
380,1,1,0,59
381,1,1,0,63
382,1,1,0,58
383,1,1,1,54
384,1,0,0,37
385,1,1,0,60
386,1,1,1,49
387,1,1,0,63
388,1,1,0,38
389,1,1,0,69
390,1,1,0,38
391,1,1,0,67
392,1,0,1,52
393,1,1,0,70
394,1,1,0,66
395,1,1,1,51
396,1,1,0,48
397,1,1,0,66
398,1,1,0,41
399,1,1,0,46
400,1,1,0,53
401,1,1,0,49
402,1,1,0,43
403,1,1,0,29
404,1,1,1,29
405,1,1,0,40
406,1,1,0,79
407,1,1,0,41
408,1,0,0,62
409,1,1,0,34
410,1,1,0,35
411,1,1,0,35
412,1,1,0,42
413,1,1,0,41
414,1,1,1,64
415,1,1,0,37
416,1,0,0,71
417,1,1,1,38
418,1,1,0,58
419,1,1,0,53
420,1,1,0,60
421,1,1,1,34
422,1,1,1,57
423,1,1,0,37
424,1,1,1,56
425,1,1,0,32
426,1,1,0,48
427,1,0,0,39
428,1,1,1,46
429,1,0,0,39
430,1,1,0,58
431,1,0,0,32
432,1,1,0,44
433,1,0,0,46
434,1,1,0,68
435,1,1,0,55
436,1,0,0,55
437,1,0,0,38
438,1,1,1,47
439,1,1,0,58
440,1,0,0,44
441,1,1,0,42
442,1,1,0,35
443,1,1,0,57
444,1,1,0,63
445,1,0,0,70
446,1,0,0,42
447,1,1,1,44
448,1,1,0,43
449,1,1,1,52
450,1,1,1,68
451,1,1,0,38
452,1,1,0,43
453,1,1,1,60
454,1,1,1,67
455,1,0,0,23
456,1,1,1,47
457,1,1,0,62
458,1,1,0,67
459,1,1,1,52
460,1,1,0,40
461,1,1,0,49
462,1,1,0,62
463,1,1,1,43
464,1,1,0,64
465,1,1,0,32
466,1,1,1,68
467,1,1,1,62
468,1,1,1,39
469,1,1,0,56
470,1,0,0,60
471,0,1,0,40
472,0,1,0,54
473,0,0,0,33
474,0,1,0,61
475,0,0,0,61
476,0,0,0,39
477,0,1,0,36
478,0,0,0,42
479,0,1,1,42
480,0,0,0,11
481,0,1,0,38
482,0,1,0,55
483,0,1,1,43
484,0,0,0,62
485,0,1,0,54
486,0,0,0,48
487,0,1,0,43
488,0,0,0,35
489,0,0,0,53
490,0,0,0,66
491,0,0,0,50
492,0,1,0,58
493,0,0,0,60
494,0,1,0,55
495,0,0,1,48
496,0,0,0,39
497,0,1,0,66
498,0,1,1,66
499,0,0,0,37
500,0,1,0,27
501,0,0,0,55
502,0,1,0,45
503,0,1,0,38
504,0,0,0,41
505,0,1,0,51
506,0,0,0,40
507,0,0,0,37
508,0,0,0,40
509,0,0,0,40
510,0,1,0,80
511,0,0,0,35
512,0,1,0,55
513,0,1,0,40
514,0,0,0,66
515,0,1,0,79
516,0,1,1,53
517,0,1,0,38
518,0,1,0,31
519,0,0,0,44
520,0,0,0,40
521,0,1,0,36
522,0,0,0,47
523,0,1,0,38
524,0,1,1,35
525,0,1,0,66
526,0,1,0,63
527,0,1,0,58
528,0,1,0,57
529,0,0,0,30
530,0,0,0,44
531,0,1,0,68
532,0,0,0,30
533,0,1,0,43
534,0,1,0,40
535,0,1,0,43
536,0,1,0,40
537,0,1,0,49
538,0,1,0,33
539,0,1,0,29
540,0,0,0,37
541,0,0,0,64
542,0,0,0,30
543,0,1,0,38
544,0,1,0,61
545,0,1,0,52
546,0,1,0,19
547,0,1,0,33
548,0,1,1,62
549,0,0,0,75
550,0,1,0,42
551,0,1,0,38
552,0,1,0,55
553,0,1,0,37
554,0,1,1,65
555,0,0,0,47
556,0,0,0,36
557,0,1,0,31
558,0,1,0,69
559,0,1,0,45
560,0,0,0,36
561,0,1,0,36
562,0,1,0,74
563,0,1,0,52
564,0,1,1,73
565,0,1,0,38
566,0,0,1,47
567,0,0,0,38
568,0,1,1,41
569,0,1,0,14
570,0,1,0,70
571,0,1,0,39
572,0,1,0,51
573,0,1,0,47
574,0,1,0,64
575,0,1,0,66
576,0,1,0,68
577,0,1,0,61
578,0,1,0,35
579,0,1,0,63
580,0,0,0,71
581,0,0,0,42
582,0,1,0,37
583,0,1,0,33
584,0,1,1,56
585,0,1,0,37
586,0,0,0,32
587,0,1,1,51
588,0,0,0,45
589,0,0,0,87
590,0,0,0,56
591,0,1,0,35
592,0,0,0,41
593,0,1,0,32
594,0,1,0,29
595,0,0,0,37
596,0,1,1,43
597,0,0,0,36
598,0,0,0,40
599,0,0,0,42
600,0,1,0,41
601,0,1,0,44
602,0,1,0,47
603,0,1,0,39
604,0,1,0,48
605,0,0,0,44
606,0,0,0,44
607,0,1,0,30
608,0,1,0,38
609,0,1,0,33
610,0,0,0,91
611,0,1,0,38
612,0,0,0,40
613,0,0,0,69
614,0,1,0,70
615,0,1,0,46
616,0,0,0,59
617,0,0,0,25
618,0,1,0,61
619,0,0,0,35
620,0,1,0,66
621,0,0,1,68
622,0,0,0,42
623,0,1,0,41
624,0,1,0,50
625,0,0,0,48
626,0,0,0,76
627,0,1,0,63
628,0,0,0,79
629,0,1,0,53
630,0,0,0,68
631,0,1,0,42
632,0,0,1,40
633,0,1,0,59
634,0,0,0,34
635,0,1,0,67
636,0,1,0,41
637,0,1,0,72
638,0,1,1,68
639,0,0,0,63
640,0,1,0,61
641,0,1,1,39
642,0,0,0,64
643,0,1,0,66
644,0,0,1,50
645,0,1,0,93
646,0,0,1,48
647,0,0,0,74
648,0,0,0,70
649,0,0,0,53
650,0,0,0,44
651,0,0,0,44
652,0,1,1,35
653,0,0,0,30
654,0,1,0,32
655,0,1,0,38
656,0,0,0,43
657,0,1,0,70
658,0,1,0,30
659,0,0,0,48
660,0,0,0,63
661,0,1,0,59
662,0,0,0,68
663,0,0,0,33
664,0,1,1,35
665,0,1,0,69
666,0,0,0,53
667,0,1,1,58
668,0,1,0,44
669,0,1,0,36
670,0,1,0,50
671,0,1,0,27
672,0,1,0,53
673,0,1,0,64
674,0,1,0,53
675,0,1,0,45
676,0,1,0,62
677,0,1,0,38
678,0,1,0,47
679,0,0,0,45
680,0,0,0,39
681,0,0,0,54
682,0,1,0,34
683,0,1,1,48
684,0,0,0,31
685,0,0,0,53
686,0,1,0,46
687,0,1,0,41
688,0,0,0,44
689,0,1,0,58
690,0,0,0,37
691,0,1,0,47
692,0,0,0,44
693,0,1,0,58
694,0,1,0,58
695,0,0,0,65
696,0,0,0,33
697,0,1,0,45
698,0,1,0,60
699,0,1,0,49
700,0,1,0,48
701,0,0,0,52
702,0,1,0,62
703,0,0,0,72
704,0,1,0,68
705,0,0,0,56
706,0,1,1,62
707,0,0,0,37
708,0,0,0,45
709,0,1,0,41
710,0,1,0,47
711,0,0,0,41
712,0,1,0,24
713,0,0,0,37
714,0,0,0,76
715,0,0,0,72
716,0,0,1,46
717,0,1,0,55
718,0,1,0,51
719,0,0,0,70
720,0,1,0,81
721,0,0,0,48
722,0,0,0,55
723,0,1,0,62
724,0,1,0,61
725,0,1,0,63
726,0,0,0,31
727,0,0,0,54
728,0,1,0,66
729,0,0,0,70
730,0,1,0,22
731,0,0,0,39
732,0,1,0,54
733,0,1,0,66
734,0,0,0,68
735,0,1,0,30
736,0,1,0,50
737,0,1,1,69
738,0,0,0,35
739,0,1,0,40
740,0,1,0,53
741,0,0,0,76
742,0,0,0,65
743,0,0,0,38
744,0,0,0,70
745,0,1,0,41
746,0,1,0,50
747,0,0,0,76
748,0,0,0,65
749,0,0,0,52
750,0,1,0,44
751,0,1,0,57
752,0,1,0,46
753,0,0,0,48
754,0,1,0,61
755,0,1,0,39
756,0,1,0,57
757,0,1,0,32
758,0,0,0,66
759,0,1,0,80
760,0,1,0,30
761,0,0,1,66
762,0,1,0,37
763,0,1,0,68
764,0,1,0,74
765,0,1,0,31
766,0,1,0,40
767,0,1,0,79
768,0,1,0,53
769,0,0,0,66
770,0,1,0,45
771,0,1,1,46
772,0,1,0,56
773,0,1,0,66
774,0,0,0,50
775,0,1,1,28
776,0,0,1,53
777,0,0,0,38
778,0,0,1,61
779,0,1,0,28
780,0,1,0,56
781,0,1,0,79
782,0,0,0,53
783,0,0,0,72
784,0,1,0,48
785,0,1,0,44
786,0,1,0,47
787,0,1,0,35
788,0,1,1,68
789,0,1,0,47
790,0,1,0,37
791,0,1,0,70
792,0,0,0,33
793,0,1,0,66
794,0,0,1,41
795,0,1,0,29
796,0,0,0,50
797,0,1,0,65
798,0,1,0,49
799,0,1,0,68
800,0,1,0,55
801,0,1,0,47
802,0,1,1,62
803,0,1,0,70
804,0,1,1,77
805,0,0,0,68
806,0,1,0,52
807,0,1,0,58
808,0,0,0,39
809,0,1,0,64
810,0,1,0,50
811,0,1,0,50
812,0,1,0,44
813,0,1,0,55
814,0,0,0,71
815,0,1,0,65
816,0,1,0,47
817,0,1,0,45
818,0,1,0,51
819,0,0,0,45
820,0,0,0,49
821,0,0,0,59
822,0,1,0,48
823,0,0,0,38
824,0,1,0,54
825,0,1,0,36
826,0,1,0,50
827,0,1,0,39
828,0,1,0,45
829,0,1,0,75
830,0,0,0,42
831,0,1,1,38
832,0,1,0,40
833,0,0,0,30
834,0,0,0,78
835,0,1,0,45
836,0,1,0,42
837,0,1,0,40
838,0,0,0,75
839,0,1,0,70
840,0,1,0,40
841,0,0,0,52
842,0,0,0,42
843,0,0,0,63
844,0,1,0,55
845,0,1,0,74
846,0,1,0,76
847,0,1,1,68
848,0,1,0,47
849,0,1,0,69
850,0,1,0,56
851,0,0,0,63
852,0,1,0,56
853,0,1,0,43
854,0,1,0,50
855,0,1,0,67
856,0,0,0,73
857,0,1,0,32
858,0,1,0,66
859,0,1,1,55
860,0,0,0,25
861,0,0,0,59
862,0,1,0,66
863,0,0,0,67
864,0,0,0,35
865,0,0,0,69
866,0,1,0,59
867,0,1,0,61
868,0,0,1,64
869,0,1,0,44
870,0,1,0,56
871,0,1,0,56
872,0,0,0,67
873,0,0,0,32
874,0,1,0,60
875,0,1,0,61
876,0,1,0,49
877,0,0,0,52
878,0,1,0,82
879,0,1,0,63
880,0,0,0,27
881,0,1,1,47
882,0,1,0,49
883,0,1,0,55
884,0,1,0,52
885,0,0,1,69
886,0,1,0,49
887,0,1,0,43
888,0,0,0,32
889,0,0,0,64
890,0,1,1,64
891,0,1,0,45
892,0,1,1,59
893,0,1,0,63
894,0,0,0,45
895,0,0,0,39
896,0,1,0,61
897,0,1,0,36
898,0,1,1,53
899,0,1,1,39
900,0,1,1,26
901,0,0,0,74
902,0,0,1,38
903,0,1,0,66
904,0,0,1,53
905,0,1,0,76
906,0,0,0,62
907,0,1,0,59
908,0,1,0,42
909,0,1,0,37
910,0,0,0,33
911,0,1,0,41
912,0,1,0,27
913,0,1,1,68
914,0,1,0,33
915,0,0,0,49
916,0,1,0,53
917,0,1,1,53
918,0,1,0,56
919,0,0,0,38
920,0,0,0,34
921,0,0,0,77
922,0,1,1,47
923,0,0,0,70
924,0,1,0,55
925,0,1,0,56
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
